"user_id","VisualWM_K4","N4C","BarChartLit","VARK_V","VARK_R","VerbalWM_word","VerbalWM_longest","PS","Meara","MV1","TIPI_X","TIPI_A","TIPI_C","TIPI_ES","TIPI_O","CF2","NAART"
1,2.5,9,0,7,10,57,1,34,1,1.5,2.5,4.5,5.5,5,4.5,32,10
9,3.6,24,1,11,13,34,0,41,1,4,3.5,5.5,6.5,6.5,6,64,29
12,2.9,13,1,6,6,28,0,31,1,3,2,6.5,3.5,5,3.5,32,30
16,2.8,4,0,14,14,40,0,56,1,6,4,5.5,6,5.5,4,46,26
18,2,25,0,7,11,54,1,66,0,3,4,3.5,4.5,3,5.5,70,41
19,0.3,-20,1,8,6,50,1,55,0,9,2.5,3.5,4,3.5,3,65,26
21,2.9,20,1,13,13,57,1,46,0,10,4,6.5,6.5,6,7,76,31
25,2.4,5,1,6,5,38,0,35,0,6.5,4.5,5,3.5,3,5,69,50
26,3.7,13,0,5,9,42,1,37,0,6,4,4,6,4,5.5,72,39
30,1.5,3,0,12,6,54,1,53,0,7,3.5,4.5,5.5,4.5,6,84,35
31,3.7,-8,1,6,9,41,0,47,1,5,3.5,6.5,3.5,5,6,64,7
36,2.8,17,0,1,6,55,1,47,1,6.5,5,5,7,5,5,62,16
38,2,17,0,5,6,55,1,49,1,10,5.5,4.5,3,5.5,5.5,67,13
40,3.5,3,1,6,9,55,1,48,1,10,4,5,7,5,3.5,55,32
42,1.8,6,1,4,2,25,0,39,1,1.5,2.5,6,6.5,5,6.5,32,27
45,2.4,20,0,4,9,39,0,35,0,9,1.5,4,4,2,5.5,40,31
52,2.7,16,0,5,10,27,0,40,1,4.5,4.5,7,6,6,6,51,14
55,4,23,1,7,7,59,1,56,1,10,3,3,5.5,6,4.5,60,17
58,2.8,16,1,4,5,56,1,36,0,2,6,5,7,5.5,5.5,61,32
59,0.9,1,0,7,8,59,1,41,1,9,4,4.5,4.5,4.5,5,64,39
60,2.1,-7,0,13,7,41,0,56,1,10.5,1.5,3.5,5,1.5,4.5,62,27
61,3,9,1,11,8,37,0,42,1,7,4.5,6,7,5.5,6,57,25
62,2.6,14,1,2,4,52,1,38,1,10,1.5,3.5,4,2.5,5,53,32
63,0.2,23,0,6,5,35,0,36,0,6,4,7,6,7,7,57,38
64,2.5,18,1,6,9,36,0,45,0,11,6.5,5.5,4.5,3,6,58,41
65,1.6,22,0,12,5,47,1,30,1,4,2.5,6,5.5,4.5,6.5,39,36
66,2.8,26,0,4,5,48,1,41,0,10,5,5.5,6,4,7,57,39
67,5,17,1,9,2,33,0,48,0,12,4.5,3.5,5,3,4.5,68,40
68,4.4,20,1,3,11,52,1,54,0,7,3.5,5,6,6.5,5.5,47,34
69,3.5,25,0,12,8,54,1,54,0,5,5,4.5,5.5,4.5,6,82,28
70,2.3,-8,0,9,6,30,0,42,0,11,5.5,3.5,4.5,2.5,4,65,40
71,3,19,1,6,3,44,1,58,0,11.5,5.5,5.5,5.5,5.5,6,68,31
72,0.9,7,0,2,5,45,1,23,0,2,3.5,4.5,2.5,5.5,5,27,9
73,1.7,11,0,3,2,41,0,45,0,4.5,4,6.5,5.5,6,7,34,25
74,1.3,15,0,11,12,43,0,52,1,2,2,7,4.5,1.5,6,76,23
75,2.7,6,1,4,11,42,0,53,0,12,4,5.5,6.5,6.5,5.5,66,38
76,2.6,15,1,13,11,55,1,50,1,10,3,5,7,5,3.5,65,24
77,2.9,16,1,11,12,51,1,59,0,11,2,5,5,5,6,67,18
78,1,6,0,3,4,26,0,46,0,8,5.5,6.5,6,5.5,6,46,25
79,1.5,-4,1,6,3,37,0,53,1,3,3,5,6,3.5,5,66,41
80,1.7,-3,0,7,6,39,0,49,0,7.5,6,5,6.5,4.5,5.5,17,41
81,3.7,12,1,10,6,34,0,59,0,8,7,5,6.5,4.5,5,74,32
46,2.6,22,1,7,7,54,1,52,1,12,6.5,4.5,5,5,6,68,28
50,1.8,6,1,12,6,25,0,38,1,1,2.5,7,4.5,2.5,5.5,69,23
84,2,-2,0,5,2,47,1,38,0,9,6.5,5,3,2.5,5,47,40
85,2.3,25,1,8,6,49,1,43,1,8,5.5,5,7,5,5.5,46,20
88,1.8,0,0,5,7,44,0,25,1,5,5,4,5.5,4,6.5,12,47
89,3.3,11,0,9,8,55,1,53,1,14,4.5,3,4.5,2.5,7,69,11
90,3.2,2,0,8,2,56,1,45,1,6,5.5,4.5,5.5,5.5,5.5,60,33
91,2.4,11,0,7,6,24,0,33,1,3,4,6,5.5,6.5,7,55,21
92,2.2,9,0,8,4,39,1,31,0,11,5,6,4.5,6.5,4.5,56,34
93,0,0,0,9,2,41,0,36,0,9,4,4,5.5,5,6.5,32,49
95,1.1,-2,0,4,2,28,0,39,0,10,4.5,4,5,1.5,5.5,48,27
97,2.4,23,1,11,4,53,1,58,1,10,4,3,4.5,4,4,80,43
