x,y,duration,start_time
549.9,489.67,166673.600002,34168686521.9
676.36,323.39,214688.100002,34168941002.0
824.01,185.0,274651.799999,34169356205.5
1029.56,61.29,115870.399998,34169705058.2
547.67,343.52,145243.299999,34170307015.5
943.52,319.36,117492.400005,34170536190.9
457.29,370.69,242069.399998,34170731498.3
593.64,393.51,124477.099998,34171039885.4
927.42,289.42,145439.800003,34171405888.1
1076.44,321.85,125817.500004,34171672849.5
488.56,397.97,102614.0,34171895535.0
324.67,738.39,123344.900002,34172238073.8
320.66,717.54,278880.700001,34172371126.5
